id;date;duration;comment;status;type
1;2022-10-29T06:39:19;2209;scalable;COMPLETED;INTERVAL
2;2022-10-28T23:01:09;8927;circuit;ABANDONED;INTERVAL
3;2022-10-29T13:20:56;83971;Soft;PLANNED;GENERAL
4;2022-10-29T11:25:01;83003;Manager;PLANNED;EXERCISE
5;2022-10-29T06:20:57;15411;neural-net Secured Business-focused;PLANNED;GENERAL
6;2022-10-29T18:33:59;44590;Cotton Designer applications;PLANNED;GENERAL
7;2022-10-29T13:21:11;55119;Knolls;PLANNED;EXERCISE
8;2022-10-29T21:56:55;23550;Franc;COMPLETED;EXERCISE
9;2022-10-29T03:26:06;39268;Cotton violet;ABANDONED;EXERCISE
10;2022-10-29T06:02:36;82136;Investment;ABANDONED;EXERCISE
