id;distance;duration;distance_unit;notes;min_value;max_value;range_unit;order_nr
1;64879;40358;portals Loan EXE;intranet Public-key;58004;16032;Cotton;74504
2;56067;95691;Account Cambridgeshire;Plastic;13721;39643;virtual;53360
3;13216;13579;Sausages;envisioneer Books;8859;71267;Exclusive Car;78117
4;25208;86142;Chair;mobile Salad;74809;53237;Locks Podlaskie;34181
5;13663;86509;Sharable hacking Walks;enhance pink grey;8845;34632;Chips feed hard;53847
6;60500;16563;program;hacking Roads;10666;3865;networks scalable Pizza;90372
7;94405;26333;Focused Warmińsko-mazurskie;redefine Practical PCI;25236;91421;real-time Mouse;19348
8;75801;41109;Triple-buffered Steel Podkarpackie;magenta port;44146;55851;compress;65718
9;40540;38035;Plastic COM Haiti;Panama incentivize needs-based;52584;61342;transparent vortals;77678
10;29282;99293;Soft Identity Automotive;Games National synthesizing;10248;38442;Ball Card Shirt;72589
